,province
California,16392
Washington,3548
Tuscany,2636
Oregon,2501
Northern Spain,1874
Mendoza Province,1488
Burgundy,1331
Bordeaux,1274
Piedmont,1241
Veneto,1219
Sicily & Sardinia,1186
New York,1053
South Australia,836
Southwest France,814
Alsace,763
Northeastern Italy,616
Southern Italy,589
Provence,557
Catalonia,544
Mosel,538
Central Italy,467
Loire Valley,449
Marlborough,421
Colchagua Valley,404
Douro,379
Alentejano,372
Rhône Valley,363
Champagne,323
Languedoc-Roussillon,320
Virginia,284
Casablanca Valley,280
Central Spain,268
Maipo Valley,256
Tejo,239
Other,235
Niederösterreich,235
Galicia,222
Burgenland,216
Stellenbosch,216
Levante,212
Beaujolais,204
Port,184
Galilee,181
Maule Valley,180
Lisboa,163
Western Cape,163
Victoria,155
Australia Other,150
Rheingau,149
Central Valley,145
Pfalz,142
Kremstal,136
Rheinhessen,136
Lombardy,136
Vinho Verde,134
Western Australia,126
Kamptal,111
Mosel-Saar-Ruwer,106
Leyda Valley,103
Wachau,99
Curicó Valley,99
Idaho,94
Cachapoal Valley,91
Dão,83
France Other,78
Andalucia,77
Central Otago,76
British Columbia,74
Coastal Region,71
Rapel Valley,68
Bairrada,66
Judean Hills,64
Península de Setúbal,62
Limarí Valley,58
Aconcagua Valley,57
Alentejo,55
Martinborough,54
Robertson,47
New South Wales,45
Nahe,45
Paarl,42
San Antonio,40
Peloponnese,38
Thermenregion,35
Hawke's Bay,35
Santorini,33
Weinviertel,32
Carnuntum,31
Wagram-Donauland,31
Baden,30
Nelson,30
Ontario,28
Valle de Guadalupe,28
Peumo,28
Nemea,27
Italy Other,27
Vienna,26
Moldova,26
Spain Other,26
Arizona,26
Swartland,24
Bío Bío Valley,24
Drama,24
Franken,23
Upper Galilee,23
Thracian Valley,22
Südsteiermark,22
Tasmania,22
Simonsberg-Stellenbosch,21
Elgin,21
New Mexico,20
Naoussa,20
North Carolina,18
Waipara,17
Goriska Brda,17
Tokaji,17
Elqui Valley,16
Colorado,16
America,16
Turkey,16
Spanish Islands,16
Wagram,15
Awatere Valley,14
Traisental,14
Walker Bay,14
Aegean,14
Galil,14
Istria,14
Minho,13
Franschhoek,13
Villány,13
Duriense,13
Setubal,13
Mantinia,13
Lontué Valley,13
Ribatejo,13
Kumeu,13
Wellington,12
Constantia,12
Bekaa Valley,12
Lolol Valley,12
Missouri,12
Marchigue,12
Vinho Espumante de Qualidade,12
Beira Interior,12
Kakheti,12
Südoststeiermark,11
Puente Alto,11
Župa,11
Loncomilla Valley,11
Štajerska,11
Beiras,10
Epanomi,10
Thrace,10
Österreichischer Sekt,10
Württemberg,10
Dealu Mare,9
Chile,9
Palmela,9
Corinth,9
Shomron,9
Durbanville,9
Wairau Valley,8
Zenata,8
Brda,8
England,8
Portuguese Table Wine,8
Crete,7
Pirque,7
Weinland Österreich,7
Nashik,7
Romania,7
Canterbury,7
Mittelburgenland,7
Cederberg,7
North Dalmatia,7
Algarve,6
Donauland,6
Halkidiki,6
South Island,6
Hemel en Aarde,6
Vipavska Dolina,6
Greece,6
Neusiedlersee-Hügelland,6
Samson,6
Austria,6
Sopron,6
Michigan,6
Pangeon,6
Bulgaria,5
Pennsylvania,5
Ohio,5
Progreso,5
Tokaj,5
Recas,5
Patras,5
Tikves,5
Dan,5
Waipara Valley,5
Northwestern Italy,5
Ankara,5
Ukraine,5
Aconcagua Costa,5
Dealurile Munteniei,4
Neszmély,4
Itata Valley,4
Vale dos Vinhedos,4
New Zealand,4
Hungary,4
Uruguay,4
Canelones,4
Moscatel do Douro,4
Haut-Judeé,4
Jerusalem Hills,4
Breedekloof,4
Commandaria,4
Moscatel de Setúbal,4
Atalanti Valley,4
Leithaberg,4
Lithuania,4
Apalta,4
Simonsberg-Paarl,4
Jonkershoek Valley,4
Wiener Gemischter Satz,4
Terras do Sado,4
Neusiedlersee,4
Negev Hills,3
Peljesac,3
San Jose,3
Lebanon,3
Samos,3
Texas,3
South Africa,3
New Jersey,3
Montevideo,3
Cape Agulhas,3
Gisborne,3
Vin de Pays de Velvendo,3
Ribatejano,3
Mavrodaphne of Patras,3
Israel,3
Viile Timisului,3
Steiermark,3
Primorska,3
Chalkidiki,3
Kras,3
Waiheke Island,3
Cephalonia,3
Philadelphia,3
Negev,3
Colinele Dobrogei,3
Korčula,3
Golan Heights,3
Darling,3
Vin de Pays de Macédoine,2
Thraki,2
Obidos,2
Elazığ,2
Florina,2
Terras do Dão,2
Polkadraai Hills,2
Klein River,2
Georgia,2
Alenquer,2
Molina,2
Alenteo,2
Amyndeon,2
Hvar,2
Beira Atlantico,2
Styria,2
Korinthia,2
Massachusetts,2
Danube River Plains,2
Rapsani,2
Groenekloof,2
Bot River,2
Fruška Gora,2
Iowa,2
Choapa Valley,2
Mostar,2
Requinoa,2
Portugal,2
Attica,2
Serra Gaúcha,2
Buin,2
Curicó and Leyda Valleys,2
Jiri Valley,2
Slovenia,2
Guerrouane,2
Eisenberg,2
Macedonia,2
Vinho da Mesa,2
Imathia,2
Casablanca & Leyda Valleys,2
Arcadia,2
Mirditë,2
Sterea Ellada,1
Eilandia,1
Brazil,1
Santa Cruz,1
Malleco,1
Croatia,1
Valle de Guadalupe and Santo Tomás,1
Cyclades,1
Juanico,1
San Clemente,1
Slovenska Istra,1
Rapel Valley-Casablanca Valley,1
Achaia,1
Opuntia Locris,1
Estremadura,1
Omaka Valley,1
Mount Athos,1
Dolenjska,1
Kathikas,1
Retsina,1
Dalmatian Coast,1
Bucelas,1
Central Greece,1
Casablanca-Curicó Valley,1
Lake Skadar Valley,1
Vinho Licoroso,1
Pocerina,1
Terasele Dunarii,1
Ilias,1
Wairarapa,1
Malgas,1
Pageon,1
Valais,1
Washington-Oregon,1
Cyprus,1
Dingač,1
Tradouw,1
Tulbagh,1
Kutjevo,1
Torres Vedras,1
Pannon,1
Overberg,1
Mátra,1
Ilia,1
Kyoto,1
East Coast,1
Lemnos,1
Ahr,1
Thessalikos,1
Morocco,1
Sebes,1
Krk,1
China,1
Neuchâtel,1
Messinia,1
Colares,1
Goumenissa,1
Germany,1
Madeira,1
Middle and South Dalmatia,1
